"id","RMS_CDW_ID","General_Offense_Number","Offense_Code","Offense_Code_Extension","Offense_Type","Summary_Offense_Code","Summarized_Offense_Description, Date_Reported","Occurred_Date_or_Date_Range_Start","Occurred_Date_Range_End","Hundred_Block_Location","District_Sector","Zone_Beat","Longitude","Latitude","Location","Date_Occurred","Date_Occurred_End"
7009,755973,"2013100372","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-22T21:00:00.000Z","2013-03-23 07:00:00","14XX BLOCK OF 6 AV N","D","D1",-122.345,47.6319,"(47.631853756, -122.344954914)","2013-03-22","2013-03-23"
7012,755982,"2013103907","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T10:50:00.000Z","2013-03-28 10:50:00","31XX BLOCK OF SW GRAHAM ST","F","F1",-122.373,47.5468,"(47.54676422, -122.372524513)","2013-03-28","2013-03-28"
7013,755984,"2013104273","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T15:41:00.000Z","1900-01-01 00:00:00","6XX BLOCK OF WHEELER ST","Q","Q2",-122.344,47.6409,"(47.640906986, -122.343580719)","2013-03-28","2013-03-28"
7129,756268,"2013107696","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-31T03:55:00.000Z","1900-01-01 00:00:00","14XX BLOCK OF BROADWAY","E","E2",-122.321,47.6135,"(47.613519513, -122.320771375)","2013-03-31","2013-03-31"
7590,758218,"2013107342","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-23T09:00:00.000Z","2013-03-30 22:10:00","3XX BLOCK OF NW 74 ST","B","B3",-122.362,47.6825,"(47.68253084, -122.361993568)","2013-03-23","2013-03-30"
7651,758375,"2013103648","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T15:44:00.000Z","1900-01-01 00:00:00","5XX BLOCK OF NE NORTHGATE WY","N","N3",-122.322,47.7086,"(47.70858578, -122.321918382)","2013-03-27","2013-03-27"
7767,758703,"2013100573","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-25T00:00:00.000Z","2013-03-25 07:00:00","25XX BLOCK OF QUEEN ANNE AV N","Q","Q2",-122.357,47.6423,"(47.642336917, -122.356893754)","2013-03-25","2013-03-25"
8173,759890,"201395678","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-21T22:29:00.000Z","1900-01-01 00:00:00","72XX BLOCK OF 34 AV NW","B","B2",-122.401,47.6813,"(47.681291791, -122.401093073)","2013-03-21","2013-03-21"
8177,759897,"2013102841","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-27T00:00:00.000Z","1900-01-01 00:00:00","39XX BLOCK OF 1 AV NE","J","J3",-122.328,47.6546,"(47.654621251, -122.327891096)","2013-03-27","2013-03-27"
8276,760203,"201395077","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-21T08:17:00.000Z","1900-01-01 00:00:00","35XX BLOCK OF S BENNETT ST","R","R2",-122.288,47.5543,"(47.55425408, -122.287953974)","2013-03-21","2013-03-21"
8277,760204,"201396933","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-22T19:48:00.000Z","1900-01-01 00:00:00","37XX BLOCK OF RENTON AV S","R","R1",-122.296,47.5707,"(47.570697766, -122.296129809)","2013-03-22","2013-03-22"
8278,760206,"201397174","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-22T21:30:00.000Z","2013-03-22 23:00:00","1XX BLOCK OF NW 51 ST","J","J2",-122.358,47.6658,"(47.665781064, -122.357928343)","2013-03-22","2013-03-22"
8280,760209,"201398262","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-23T05:45:00.000Z","2013-03-23 20:00:00","11XX BLOCK OF E FIR ST","E","E3",-122.317,47.6027,"(47.602687137, -122.31744129)","2013-03-23","2013-03-23"
8317,760389,"2013103884","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-24T21:00:00.000Z","2013-03-25 11:00:00","34XX BLOCK OF 14 AV W","Q","Q2",-122.375,47.6513,"(47.651256443, -122.374896717)","2013-03-24","2013-03-25"
8461,761387,"2013103984","2205",0,"BURGLARY-NOFORCE-NONRES","2200",,"2013-03-28T11:52:00.000Z","1900-01-01 00:00:00","14XX BLOCK OF 3 AV","K","K1",-122.337,47.6093,"(47.60925298, -122.337338749)","2013-03-28","2013-03-28"
8787,762418,"2013106716","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-30T13:36:00.000Z","1900-01-01 00:00:00","4XX BLOCK OF W COMSTOCK ST","Q","Q3",-122.362,47.6305,"(47.630461694, -122.362460429)","2013-03-30","2013-03-30"
9097,763354,"201398316","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-23T19:00:00.000Z","2013-03-23 21:10:00","143XX BLOCK OF ASHWORTH AV N","N","N1",-122.34,47.7332,"(47.733222116, -122.33967744)","2013-03-23","2013-03-23"
